bookID,title,authors,average_rating,ratings_count,publication_date,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,2095690,2006-09-16,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2153167,2004-09-01,
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,6333,2003-11-01,
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2339585,2004-05-01,
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,41428,2004-09-13,
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,19,2005-04-26,
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,28242,2005-09-12,
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,3628,2005-11-01,
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,249558,2002-04-30,
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,4930,2004-08-03,
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,1266,2005-03-23,
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,2877,1996-01-17,
21,A Short History of Nearly Everything,Bill Bryson,4.21,248558,2004-09-14,
22,Bill Bryson's African Diary,Bill Bryson,3.44,7270,2002-12-03,
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,2088,2004-09-14,
24,In a Sunburned Country,Bill Bryson,4.07,72451,2001-05-15,
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,49240,2000-06-28,
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,45712,1990-08-28,
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,48701,1993-03-28,
28,Notes from a Small Island,Bill Bryson,3.91,80609,1997-05-28,
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,28489,1991-09-28,
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,101233,2012-09-25,
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1710,2004-10-21,
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,2128944,2003-09-05,
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1618,2002-10-01,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,19822,2003-11-05,
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,359,2004-11-15,
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,1430,2005-07-28,
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,270244,2000-04-01,
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,36,1994-08-28,
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,2067,2001-01-23,
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,6,2003-06-10,
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,99,2005-11-01,
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,167,2005-11-01,
58,Changeling (Changeling  #1),Delia Sherman,3.6,978,2006-08-17,
59,The Changeling Sea,Patricia A. McKillip,4.06,4454,2003-04-14,
61,The Changeling,Zilpha Keatley Snyder,4.17,1176,2004-06-08,
63,The Changeling,Kate Horsley,3.55,301,2005-04-12,
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,345,1990-08-28,
67,The Known World,Edward P. Jones,3.83,29686,2006-08-29,
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,55,2004-06-15,
69,The Known World,Edward P. Jones,3.83,22,2004-06-15,
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,1456,2006-05-15,
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,52,2005-12-14,
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,562,1982-06-01,
75,Uncommon Carriers,John McPhee,3.95,1630,2006-05-16,
76,Heirs of General Practice,John McPhee,4.17,268,1986-04-01,
77,The Control of Nature,John McPhee,4.24,3498,1990-09-01,
78,Annals of the Former World,John McPhee,4.34,3115,1999-01-06,
79,Coming Into the Country,John McPhee,4.22,5704,1991-04-01,
80,La Place de la Concorde Suisse,John McPhee,3.92,698,1994-04-01,
81,Giving Good Weight,John McPhee,4.23,542,1994-04-01,
83,Rising from the Plains,John McPhee,4.23,1341,1987-11-01,
85,The Heidi Chronicles,Wendy Wasserstein,3.75,1423,2002-03-01,
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,2766,1991-07-02,
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,31,2006-03-29,
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,62,2006-03-14,
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,860,2003-09-01,
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,77,1997-01-28,
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,153317,2002-11-15,
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,55,2004-11-15,
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,34,2003-04-28,
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,11797,2003-10-16,
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,34,2004-05-10,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,78,2004-08-19,
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,2785,1987-06-15,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,38778,1987-07-01,
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,97494,1987-07-15,
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,784,2004-07-01,
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,272,1984-04-16,
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,4789,2006-08-29,
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,45388,1987-08-15,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,26153,2002-06-12,
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,69167,1996-09-29,
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,45,2005-09-13,
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,16,2004-11-01,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,174,2006-05-19,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,10,2000-02-07,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,76,2005-05-03,
133,eBay for Dummies,Marsha Collier,3.5,111,2006-10-30,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,24,2006-01-24,
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,55,2004-09-17,
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,9,2006-06-06,
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,22,2004-05-31,
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,17,2005-04-25,
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,166,2006-07-29,
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,50,2005-05-03,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,13,2005-05-03,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,64,2007-01-01,
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,16643,2004-05-31,
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,109420,2002-11-05,
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,2904,2003-01-30,
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,16,1965-11-26,
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,9564,2003-07-01,
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,474,2004-11-23,
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,303,2004-08-26,
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,411,2006-01-28,
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,1204,1987-11-26,
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,3429,1990-07-03,
163,The Untouchable,John Banville,3.95,2163,1998-06-30,
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,613,1996-02-01,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,308,2005-09-27,
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,10,1995-01-28,
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,16,2000-12-20,
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,10,2003-09-22,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,17,1991-09-28,
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,1035,1994-10-01,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,36,2002-05-01,
