ID,Title,Year,IMDb,Genres,Runtime
1,Inception,2010,8.8,"Action,Adventure,Sci-Fi,Thriller",148
2,The Matrix,1999,8.7,"Action,Sci-Fi",136
3,Avengers: Infinity War,2018,8.5,"Action,Adventure,Sci-Fi",149
4,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi",116
5,"The Good, the Bad and the Ugly",1966,8.8,Western,161
6,Spider-Man: Into the Spider-Verse,2018,8.4,"Animation,Action,Adventure,Family,Sci-Fi",117
7,The Pianist,2002,8.5,"Biography,Drama,Music,War",150
8,Django Unchained,2012,8.4,"Drama,Western",165
9,Raiders of the Lost Ark,1981,8.4,"Action,Adventure",115
10,Inglourious Basterds,2009,8.3,"Adventure,Drama,War",153
11,Taxi Driver,1976,8.3,"Crime,Drama",114
12,3 Idiots,2009,8.4,"Comedy,Drama",170
13,Pan's Labyrinth,2006,8.2,"Drama,Fantasy,War",118
14,Room,2015,8.1,"Drama,Thriller",118
15,Monty Python and the Holy Grail,1975,8.2,"Adventure,Comedy,Fantasy",91
16,Once Upon a Time in the West,1968,8.5,Western,165
17,Indiana Jones and the Last Crusade,1989,8.2,"Action,Adventure",127
18,Groundhog Day,1993,8,"Comedy,Fantasy,Romance",101
19,The King's Speech,2010,8,"Biography,Drama,History",118
20,Her,2013,8,"Drama,Romance,Sci-Fi",126
21,There Will Be Blood,2007,8.2,Drama,158
22,The Social Network,2010,7.7,"Biography,Drama",120
23,Dallas Buyers Club,2013,8,"Biography,Drama",117
24,The Perks of Being a Wallflower,2012,8,"Drama,Romance",103
25,Life of Brian,1979,8.1,Comedy,94
26,Ex Machina,2015,7.7,"Drama,Mystery,Sci-Fi,Thriller",108
27,Silver Linings Playbook,2012,7.7,"Comedy,Drama,Romance",122
28,District 9,2009,7.9,"Action,Sci-Fi,Thriller",112
29,The Irishman,2019,7.9,"Biography,Crime,Drama",209
30,Moon,2009,7.9,"Drama,Mystery,Sci-Fi",97
31,Marriage Story,2019,8,"Comedy,Drama,Romance",137
32,Drive,2011,7.8,"Crime,Drama",100
33,Train to Busan,2016,7.5,"Action,Horror,Thriller",118
34,Incredibles 2,2018,7.6,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",118
35,Dangal,2016,8.4,"Action,Biography,Drama,Sport",161
36,Klaus,2019,8.2,"Animation,Adventure,Comedy,Family",96
37,Minority Report,2002,7.6,"Action,Crime,Mystery,Sci-Fi,Thriller",145
38,Mystic River,2003,7.9,"Crime,Drama,Mystery,Thriller",138
39,Like Stars on Earth,2007,8.4,"Drama,Family",165
40,Ferris Bueller's Day Off,1986,7.8,Comedy,103
41,Despicable Me,2010,7.6,"Animation,Comedy,Family,Fantasy",95
42,Hell or High Water,2016,7.6,"Action,Crime,Drama,Thriller,Western",102
43,Sin City,2005,8,"Crime,Thriller",124
44,Ip Man,2008,8,"Action,Adventure,Biography,Drama,History",106
45,Indiana Jones and the Temple of Doom,1984,7.6,"Action,Adventure",118
46,The Theory of Everything,2014,7.7,"Biography,Drama,Romance",123
