Seven Gothic Tales,Isak Dinesen,Fiction,3.94,82,2002
Orientalism,Edward W. Said,History,4.09,795,2003
One Flew Over the Cuckoo's Nest,Ken Kesey,Mentally ill,4.19,2364,2005
Mr Majeika and the School Trip,Humphrey Carpenter,Juvenile Fiction,3.81,45,1999
The Duplicate,William Sleator,Juvenile Fiction,3.68,476,1999
The Beasties,William Sleator,Juvenile Fiction,3.84,802,1999
Crazy,Benjamin Lebert,Handicapped youth,2.92,7,2000
Serena and the Sea Serpent,Garth Nix,Sea monsters,3.59,33,2000
Skin and Other Stories,Roald Dahl,Juvenile Fiction,4.06,5245,2002
Westmark,Lloyd Alexander,Juvenile Fiction,3.92,4049,2002
The Kestrel,Lloyd Alexander,Juvenile Fiction,3.99,2674,2002
James and the Giant Peach,Roald Dahl;Quentin Blake,Adventure stories,4,1211,2001
The Outsiders,S. E. Hinton,Alienation (Social psychology),4.08,2559,2002
Raffles the Amateur Cracksman,Ernest William Hornung,Fiction,3.61,1388,2003
Frankenstein Or The Modern Prometheus,Mary Wollstonecraft Shelley,Fiction,3.78,827747,2002
Pygmalion,George Bernard Shaw,Literary Criticism,3.9,1997,2003
Pride and Prejudice,Jane Austen,Fiction,4.25,11552,2003
Emma,Jane Austen,Fiction,3.99,519245,2002
A Tale of Two Cities,Charles Dickens,Fiction,3.83,693045,2003
The Woman in White,Wilkie Collins,Fiction,3.99,104614,2003
The Mill on the Floss,George Eliot,Fiction,3.79,40763,2003
The Portrait of a Lady,Henry James,Fiction,3.77,60027,2003
Mansfield Park,Jane Austen,Fiction,3.85,234760,2003
Robinson Crusoe,Daniel Defoe,Fiction,3.67,1415,2003
Vanity Fair,William Makepeace Thackeray,Fiction,3.78,100384,2003
The Turn of the Screw and The Aspern Papers,Henry James,Fiction,3.79,6652,2003
Little Dorrit,Charles Dickens,Fiction,3.98,38158,2003
Tono-Bungay,H.G. Wells,Fiction,3.42,820,2005
A Passage to India,Edward Morgan Forster;Pankaj Mishra,Fiction,3.68,53972,2005
Moby-Dick Or The Whale,Herman Melville,Fiction,3.49,999,2001
Icy Sparks,Gwyn Hyman Rubio,Fiction,3.69,36759,1998
Bridget Jones's Guide to Life,Helen Fielding,Fiction,3.48,1083,2001
Getting Things Done,David Allen,Business & Economics,3.99,95950,2001
East of Eden,John Steinbeck,Fiction,4.37,358668,2002
Cannery Row,John Steinbeck,Fiction,4.03,92582,2002
Travels with Charley,John Steinbeck,Biography & Autobiography,4.08,52914,2002
Salt,Mark Kurlansky,History,3.74,46854,2003
The Eyre Affair,Jasper Fforde,Fiction,3.91,93927,2003
Youth,J. M. Coetzee,Fiction,3.79,4722,2003
Word Freak,Stefan Fatsis,Biography & Autobiography,3.82,4646,2002
The Fall of Berlin 1945,Antony Beevor,History,4.28,9635,2003
The Last American Man,Elizabeth Gilbert,Biography & Autobiography,3.8,7634,2003
When the Elephants Dance,Tess Uriza Holthe,Fiction,4.03,2525,2003
The Spy who Loved Me,Ian Fleming,Adirondack Mountains (N.Y.),3.4,7735,1962
Octopussy,Ian Fleming,Fiction,3.55,4801,2004
The Blank Slate,Steven Pinker,Psychology,4.08,17851,2003
Good Poems,Garrison Keillor,Poetry,4.18,5977,2003
The Classic Ten,Nancy MacDonell Smith;Nancy MacDonell,Design,3.43,108,2003
I Should be Extremely Happy in Your Company,Brian Hall,Fiction,3.37,325,2003
Drop City,T. Coraghessan Boyle,Fiction,3.85,10071,2004
River of Shadows,Rebecca Solnit,Biography & Autobiography,4.14,1081,2004
The Life of Graham Greene: 1904-1939,Norman Sherry,Biography & Autobiography,4.1,166,2004
Voice of the Violin,Andrea Camilleri,Fiction,4.03,3669,2004
Zazie in the Metro,Raymond Queneau,Fiction,3.73,3785,2001
Nuns and Soldiers,Iris Murdoch,Fiction,3.93,489,2002
The Far Side of Evil,Sylvia Engdahl,Juvenile Fiction,3.98,57,2005
Moon-Flash,Patricia A. McKillip,Juvenile Fiction,3.73,340,2005
Firebirds,Sharyn November,Juvenile Fiction,3.96,3374,2005
Charlie and the Chocolate Factory,Roald Dahl,Juvenile Fiction,3.86,12,2005
Rock Star Superstar,Blake Nelson,Juvenile Fiction,3.59,312,2006
Amber Brown Is Not a Crayon,Paula Danziger,Juvenile Fiction,3.84,4700,2006
The Tough Guide to Fantasyland,Diana Wynne Jones,Juvenile Nonfiction,3.94,3897,2006
Heat,Mike Lupica,Juvenile Fiction,3.98,18422,2007
The BFG,Roald Dahl;David Wood;Jane Walmsley,Juvenile Nonfiction,4.26,452,2007
I'm Afraid You've Got Dragons,Peter S. Beagle,Juvenile Fiction,4.1,10,2007
A Little Princess,Frances Hodgson Burnett,Fiction,4.19,232387,2002
The Letters of John and Abigail Adams,Abigail Adams,Literary Collections,4.17,267,1876
Jane Eyre,Charlotte Brontë,Fiction,4.11,1328143,2003
On the Road,Jack Kerouac,Fiction,3.63,3194,2002
The Portable Faulkner,William Faulkner,Literary Collections,4.29,755,2003
The Power and the Glory,Graham Greene,Fiction,3.99,24309,2003
The Portable Dante,Dante Alighieri,Fiction,4.23,269,2003
The Portable Arthur Miller,Arthur Miller,Drama,4.19,228,2003
Agapē Agape,William Gaddis,Fiction,3.81,873,2003
In the Land of Time and Other Fantasy Tales,Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,4.12,571,2004
The Portable John Adams,John Adams,Biography & Autobiography,4.11,56,2004
Aleph and other stories,Jorge Luis Borges;Andrew Hurley,Fiction,4.38,19310,2000
A Universal History of Iniquity,Jorge Luis Borges;Andrew Hurley,Fiction,3.97,2967,2004
Stamboul Train,Graham Greene,Fiction,3.46,1930,2004
Enchantress from the Stars,Sylvia Louise Engdahl,Juvenile Fiction,3.94,2031,2003
Castaways of the Flying Dutchman,Brian Jacques,Juvenile Fiction,3.99,7648,2003
Salamandastron,Brian Jacques;Gary Chalk,Juvenile Fiction,4.06,25484,2003
Riot,Shashi Tharoor,Adult children,3.7,1261,2003
Buddha,Karen Armstrong,Biography & Autobiography,3.89,3657,2004
Excursion to Tindari,Andrea Camilleri,Fiction,4.03,3174,2005
Alexander Hamilton,Ron Chernow,Biography & Autobiography,4.24,82247,2004
The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,4.26,306069,2005
Jane Austen,Carol Shields,Biography & Autobiography,3.85,2221,2005
The Liars' Club,Mary Karr,Biography & Autobiography,3.93,50776,2005
Democracy Matters,Cornel West,History,3.94,1408,2005
Windblown World,Jack Kerouac;Douglas Brinkley,Biography & Autobiography,4.15,564,2006
The United States of Europe,T. R. Reid,History,3.62,681,2005
The Christians and the Fall of Rome,Edward Gibbon,History,3.57,202,2005
Why I Write,George Orwell,Language Arts & Disciplines,4.03,5874,2005
On the Road,Jack Kerouac,Fiction,3.63,480,2005
The Stone Diaries,Carol Shields,Fiction,3.86,396,2005
Collapse,Jared M. Diamond,History,3.93,49219,2006
March,Geraldine Brooks,Fiction,3.75,47704,2006
The Mermaid Chair,Sue Monk Kidd,Fiction,3.12,66723,2006
Grammar Snobs are Great Big Meanies,June Casagrande,Humor,3.78,733,2006
The City of Falling Angels,John Berendt,History,3.54,12412,2006
Bargaining for Advantage,G. Richard Shell,Business & Economics,3.94,4406,2006
The Memory Keeper's Daughter,Kim Edwards,Fiction,3.65,519878,2006
The Big Over Easy,Jasper Fforde,Fiction,3.93,26532,2006
The Read-aloud Handbook,Jim Trelease,Language Arts & Disciplines,4.4,4122,2006
Tooth and Claw,T. Coraghessan Boyle,Fiction,3.82,1165,2006
Rounding the Mark,Andrea Camilleri,Fiction,4.06,2445,2006
The Social Contract,Jean-Jacques Rousseau;Maurice Cranston,Philosophy,3.76,27463,2004
Fear and Trembling,Søren Kierkegaard,Philosophy,4,13333,2005
Bleak House,Charles Dickens;Nicola Bradbury,Fiction,4.01,77515,2006
Good Poems for Hard Times,Garrison Keillor,Poetry,4.14,2611,2006
Homegrown Democrat,Garrison Keillor,Political Science,3.96,1164,2006
Let My People Go Surfing,Yvon Chouinard,Business & Economics,4.21,6467,2006
The Joy Luck Club,Amy Tan,Fiction,3.91,550264,2006
The Kitchen God's Wife,Amy Tan,Fiction,4,64285,2006
The Bar on the Seine,Georges Simenon;David Watson,Fiction,3.69,375,2007
Eat Pray Love,Elizabeth Gilbert,Biography & Autobiography,3.54,1309623,2007
The White Man's Burden,William Easterly,Business & Economics,3.83,4317,2006
The quiet American,Graham Greene;Robert Stone,Fiction,3.97,35497,1955
Complete Short Stories,Graham Greene,Fiction,4.16,1106,2005
World of Wonders,Robertson Davies;Wayne Johnston,Fiction,4.1,3479,2006
Sodom and Gomorrah,Marcel Proust,Fiction,4.36,3039,2005
The Grapes of Wrath,John Steinbeck,Fiction,3.95,6775,1939
The Tale of Genji,Murasaki Shikibu,Fiction,3.71,148,2006
The Complete Novels,Jane Austen,Fiction,4.55,417,2006
The Adventures of Augie March,Saul Bellow;Christopher Hitchens,Fiction,3.85,14372,2006
The Dharma Bums,Jack Kerouac,Fiction,3.93,1993,1958
Malgudi Days,R. K. Narayan,Fiction,4.21,13066,1982
The Outsiders,S. E. Hinton;Jodi Picoult,Fiction,4.08,1558,1967
Sometimes a Great Notion,Ken Kesey,Fiction,4.21,557,1964
The Book of Imaginary Beings,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,Fiction,4.09,4809,2006
Gravity's Rainbow,Thomas Pynchon,Fiction,4.02,28034,1973
Life is a Dream,Pedro Calderón de la Barca,Drama,3.98,154,2006
Black Lamb and Grey Falcon,Rebecca West,History,4.23,1550,2007
Mrs. Dalloway,Virginia Woolf,Fiction,3.79,167000,2002
Animal Farm and 1984,George Orwell,Fiction,4.28,140015,2003
Janet Flanner's world,Janet Flanner;Irving Drutman,Fiction,4.3,19,1979
The Stone Fey,Robin McKinley,Juvenile Fiction,3.35,1025,1998
How I Became a Pirate,Melinda Long;David Shannon,Juvenile Fiction,4.08,23328,2003
The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift;Lynd Ward,Juvenile Fiction,4.26,2216,2003
The Secret School,Avi,Juvenile Fiction,3.78,3540,2003
Winter is the Warmest Season,Lauren Stringer,Juvenile Fiction,3.91,360,2006
Doomed Queen Anne,Carolyn Meyer,Juvenile Fiction,3.87,3478,2004
Gifts,Ursula K. Le Guin,Juvenile Fiction,3.69,6442,2006
The Hundred Dresses,Eleanor Estes,Juvenile Fiction,4.09,29372,2004
Patience Princess Catherine,Carolyn Meyer,Juvenile Fiction,3.79,2185,2005
Voices,Ursula K. Le Guin,Juvenile Fiction,3.87,3353,2006
Apple Pie Fourth of July,Janet S. Wong;Margaret Chodos-Irvine,Juvenile Fiction,3.71,298,2006
Beauty Shop for Rent,Laura Bowers,Juvenile Fiction,3.87,758,2007
Frankenstein Makes a Sandwich,Adam Rex,Juvenile Nonfiction,4.21,1860,2006
The Sleeping Giant and Other Stories,Eleanor Estes,Folklore,4,10,1948
The Metamorphoses of Ovid,Allen Mandelbaum,Literary Criticism,4.05,685,1995
Winterdance,Gary Paulsen,Pets,4.25,5128,1994
This Is the Way the World Ends,James Morrow,Fiction,3.75,1275,1986
The Double Flame,Octavio Paz,Literary Collections,4.21,577,1996
All the King's Men,Robert Penn Warren,Fiction,4.09,45975,1982
Baltasar and Blimunda,José Saramago;Giovanni Pontiero,Fiction,3.91,5950,1998
The History of the Siege of Lisbon,José Saramago,Fiction,3.8,324,1998
Slammerkin,Emma Donoghue,Fiction,3.7,12262,2000
Blindness,José Saramago;Giovanni Pontiero,Fiction,4.11,106162,1999
All the Names,José Saramago;Margaret Jull Costa,Fiction,3.89,10634,2001
Poems New and Collected 1957-1997,Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,Poetry,4.42,2454,2000
The Last Life,Claire Messud,Fiction,3.56,1384,2000
The Tale of the Unknown Island,José Saramago,Fiction,3.89,3138,2000
Tales from Margaritaville,Jimmy Buffett,Fiction,3.9,2366,2002
The Cyberiad,Stanislaw Lem,Fiction,4.18,7512,2002
Four Comedies,Aristophanes;Dudley Fitts,Drama,4.03,14,2002
The Common Reader,Virginia Woolf,Literary Collections,4.17,1090,1984
A Writer's Diary,Virginia Woolf;Leonard Woolf,Biography & Autobiography,4.25,3219,2003
Women and Writing,Virginia Woolf,Literary Criticism,4.07,236,2003
The Cave,José Saramago,Fiction,3.83,7390,2003
Gun with Occasional Music,Jonathan Lethem,Fiction,3.77,7863,2003
A Drink Before the War,Dennis Lehane,Fiction,3.95,28386,2003
