20,Team Fortress Classic,4/1/1999,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,3318,633
30,Day of Defeat,5/1/2003,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,3416,398
40,Deathmatch Classic,6/1/2001,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,1273,267
50,Half-Life: Opposing Force,11/1/1999,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,5250,288
60,Ricochet,11/1/2000,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,2758,684
70,Half-Life,11/8/1998,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,27755,1100
80,Counter-Strike: Condition Zero,3/1/2004,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,12120,1439
130,Half-Life: Blue Shift,6/1/2001,Single-player,Action,FPS;Action;Sci-fi,3822,420
220,Half-Life 2,11/16/2004,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,67902,2419
240,Counter-Strike: Source,11/1/2004,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,76640,3497
280,Half-Life: Source,6/1/2004,Single-player,Action,FPS;Action;Sci-fi,3767,1053
300,Day of Defeat: Source,7/12/2010,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,10489,1210
320,Half-Life 2: Deathmatch,11/1/2004,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,6020,787
340,Half-Life 2: Lost Coast,10/27/2005,Single-player;Commentary available,Action,FPS;Action;Singleplayer,5783,1020
360,Half-Life Deathmatch: Source,5/1/2006,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,1362,473
380,Half-Life 2: Episode One,6/1/2006,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,7908,517
400,Portal,10/10/2007,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,51801,1080
420,Half-Life 2: Episode Two,10/10/2007,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,13902,696
440,Team Fortress 2,10/10/2007,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,515879,34036
500,Left 4 Dead,11/17/2008,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,17951,948
550,Left 4 Dead 2,11/19/2009,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,251789,8418
570,Dota 2,7/9/2013,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,863507,142079
620,Portal 2,4/18/2011,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,138220,1891
630,Alien Swarm,7/19/2010,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action,17435,941
730,Counter-Strike: Global Offensive,8/21/2012,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,2644404,402313
1002,Rag Doll Kung Fu,10/12/2005,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer,40,17
1200,Red Orchestra: Ostfront 41-45,3/14/2006,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS,1562,223
1250,Killing Floor,5/14/2009,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,53710,2649
1300,SiN Episodes: Emergence,5/10/2006,Single-player;Stats,Action,Action;FPS;Cyberpunk,468,61
1500,Darwinia,7/14/2005,Single-player,Indie;Strategy,Strategy;Indie;RTS,472,158
1510,Uplink,8/23/2006,Single-player,Indie;Strategy,Hacking;Indie;Strategy,1602,152
1520,DEFCON,9/29/2006,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer,2057,344
1530,Multiwinia,9/19/2008,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy,368,75
1600,Dangerous Waters,2/7/2006,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,140,44
1610,Space Empires IV Deluxe,2/7/2006,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi,112,26
1630,Disciples II: Rise of the Elves ,7/6/2006,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy,451,108
1640,Disciples II: Gallean's Return,7/6/2006,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic,490,152
1670,Iron Warriors: T - 72 Tank Command ,7/26/2006,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks,137,102
1690,Space Empires V,10/16/2006,Single-player;Multi-player,Strategy,Strategy;4X;Space,191,85
1700,Arx Fatalis,4/3/2007,Single-player,RPG,RPG;First-Person;Classic,671,106
1840,Source Filmmaker,7/10/2012,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,15083,1111
1900,Earth 2160,4/1/2006,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi,498,238
1930,Two Worlds Epic Edition,4/30/2009,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,2656,1055
2100,Dark Messiah of Might & Magic,10/25/2006,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person,4386,316
2200,Quake III Arena,8/3/2007,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,1362,66
2210,Quake IV,8/4/2011,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter,891,171
2270,Wolfenstein 3D,8/3/2007,Single-player;Steam Cloud,Action,FPS;Classic;Action,1773,87
2280,Ultimate Doom,8/3/2007,Single-player;Steam Cloud,Action,Classic;FPS;Action,3705,257
2290,Final DOOM,8/3/2007,Single-player;Steam Cloud,Action,FPS;Action;Classic,573,82
2300,DOOM II,8/3/2007,Single-player;Multi-player;Steam Cloud,Action,Classic;FPS;Action,2517,182
2310,QUAKE,8/3/2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Classic;Action,2618,136
2320,QUAKE II,8/3/2007,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Action;Classic,1369,107
2330,QUAKE II Mission Pack: The Reckoning,8/3/2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Classic,65,12
2340,QUAKE II Mission Pack: Ground Zero,8/3/2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,54,33
2350,QUAKE III: Team Arena,8/3/2007,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Competitive,108,31
2360,HeXen: Beyond Heretic,8/3/2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,249,26
2370,HeXen: Deathkings of the Dark Citadel,8/3/2007,Single-player;Steam Cloud,Action,Action;FPS;Classic,57,20
2390,Heretic: Shadow of the Serpent Riders,8/3/2007,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS,417,29
2400,The Ship: Murder Party,7/11/2006,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG,Multiplayer;Indie;Action,4819,792
2450,Bloody Good Time,10/29/2010,Single-player;Multi-player;Steam Achievements,Action,Action;Multiplayer;FPS,662,204
2500,Shadowgrounds,5/8/2006,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Sci-fi;Top-Down Shooter,973,248
2520,Gumboy - Crazy Adventures™,12/19/2006,Single-player,Casual;Indie,Casual;Indie;Singleplayer,52,46
2590,Alpha Prime,11/7/2007,Single-player,Action,Action;FPS;Sci-fi,610,523
2600,Vampire: The Masquerade - Bloodlines,3/22/2007,Single-player,Action,RPG;Vampire;Cult Classic,6161,362
2610,GUN™,10/13/2006,Single-player,Action,Western;Action;Open World,740,87
2620,Call of Duty®,10/13/2006,Single-player;Multi-player,Action,FPS;World War II;Action,1555,117
2630,Call of Duty® 2,10/13/2006,Single-player;Multi-player,Action,Action;World War II;FPS,2434,236
2640,Call of Duty: United Offensive,10/13/2006,Single-player;Multi-player,Action,Action;World War II;FPS,490,97
2710,Act of War: Direct Action,3/12/2008,Single-player;Multi-player,Action,Action;Strategy;RTS,180,33
2720,ThreadSpace: Hyperbol,7/12/2007,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy,Strategy;Action;Indie,31,9
2780,ARMA: Combat Operations,3/12/2008,Single-player;Multi-player;Includes level editor,Action,Action;Simulation;Shooter,145,77
2800,X2: The Threat,7/21/2006,Single-player;Captions available;Steam Cloud,Strategy,Space;Strategy;Simulation,212,50
2810,X3: Reunion,7/21/2006,Single-player;Captions available;Steam Cloud,Strategy,Space;Simulation;Strategy,282,113
2820,X3: Terran Conflict,10/16/2008,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy,Space;Simulation;Sci-fi,1633,272
2840,X: Beyond the Frontier,10/8/2010,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy,142,48
2850,X: Tension,10/8/2010,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space,57,18
2870,X Rebirth,11/15/2013,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi,2832,4032
